통계표,업종코드,기업규모,계정항목,단위,변환,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C16 목재 및 나무제품(가구 제외)","종합","매출채권","백만원","원자료","1,137,942","1,130,256","1,196,363","1,287,084","1,349,298","1,449,992","1,472,304","1,489,501","1,442,143","1,382,157","1,520,015","1,612,914","1,572,689","1,512,391"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C16 목재 및 나무제품(가구 제외)","종합","유형자산","백만원","원자료","3,253,822","3,336,861","3,125,746","3,692,102","3,925,722","4,301,371","4,493,172","4,716,535","4,771,842","4,879,830","5,346,155","5,745,480","6,447,303","6,559,813"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C16 목재 및 나무제품(가구 제외)","종합","매입채무","백만원","원자료","613,588","628,085","606,974","651,119","688,570","750,316","723,109","747,796","686,045","673,746","823,188","828,408","816,380","857,246"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C17 펄프, 종이 및 종이제품","종합","매출채권","백만원","원자료","3,644,331","3,349,510","3,397,742","3,416,254","3,504,439","3,768,380","3,970,940","3,930,129","3,783,935","4,149,729","4,370,821","4,757,444","4,875,237","4,910,672"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C17 펄프, 종이 및 종이제품","종합","유형자산","백만원","원자료","10,542,131","10,802,416","11,071,249","11,692,306","11,720,021","11,820,812","11,946,329","12,140,216","12,196,120","12,887,882","13,320,242","13,509,543","14,236,054","14,839,824"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C17 펄프, 종이 및 종이제품","종합","매입채무","백만원","원자료","1,844,858","1,668,141","1,633,593","1,571,121","1,677,360","1,831,983","2,020,954","1,902,874","1,780,257","1,949,230","2,219,616","2,390,134","2,466,925","2,535,846"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C18 인쇄 및 기록매체 복제업","종합","매출채권","백만원","원자료","1,279,662","1,319,440","1,751,538","1,456,635","1,491,601","1,562,860","1,664,601","1,673,368","1,746,150","1,718,982","1,850,295","1,869,703","1,851,055","1,866,811"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C18 인쇄 및 기록매체 복제업","종합","유형자산","백만원","원자료","2,497,424","2,675,703","2,964,508","3,021,591","3,417,111","3,559,653","3,922,051","4,400,429","4,778,799","5,141,806","5,627,228","5,739,426","6,090,629","6,369,904"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C18 인쇄 및 기록매체 복제업","종합","매입채무","백만원","원자료","797,581","824,079","916,561","774,076","781,795","806,322","837,567","824,738","830,277","834,780","947,962","941,397","926,044","898,567"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C19 코크스, 연탄 및 석유정제품","종합","매출채권","백만원","원자료","15,548,017","11,488,041","11,659,325","8,877,307","7,656,524","9,164,323","11,171,258","10,139,825","9,784,852","6,597,249","11,785,408","14,595,517","14,035,107","12,646,495"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C19 코크스, 연탄 및 석유정제품","종합","유형자산","백만원","원자료","28,918,155","27,626,389","29,029,428","30,127,891","30,312,284","31,677,240","33,873,146","36,161,617","39,369,810","42,095,850","43,525,717","43,897,457","38,552,720","40,895,686"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C19 코크스, 연탄 및 석유정제품","종합","매입채무","백만원","원자료","15,708,744","12,250,951","13,886,564","8,575,681","5,701,946","8,224,513","11,352,223","10,141,452","10,643,689","7,379,382","13,757,919","16,309,400","16,579,477","17,967,528"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C20 화학물질 및 화학제품(의약품 제외)","종합","매출채권","백만원","원자료","24,562,749","24,837,358","23,648,901","23,182,578","23,950,817","26,481,896","28,799,785","30,228,038","27,962,285","24,422,840","32,994,788","37,107,451","34,756,634","35,716,780"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C20 화학물질 및 화학제품(의약품 제외)","종합","유형자산","백만원","원자료","58,468,167","66,437,820","65,145,547","66,518,304","71,177,811","74,318,307","76,495,314","82,081,604","84,034,973","84,092,196","91,259,518","102,911,670","113,594,207","121,500,592"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C20 화학물질 및 화학제품(의약품 제외)","종합","매입채무","백만원","원자료","16,177,351","15,419,926","13,787,105","12,296,589","12,797,297","14,216,264","16,315,373","16,550,019","15,473,190","13,705,922","21,090,886","21,787,942","20,899,378","20,601,609"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C201 기초화학물질","종합","매출채권","백만원","원자료","9,195,391","9,386,674","8,598,312","7,607,009","7,406,879","8,842,290","9,744,700","9,177,463","8,212,596","7,703,075","10,908,897","13,259,469","11,751,250","12,775,860"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C201 기초화학물질","종합","유형자산","백만원","원자료","27,116,873","28,873,482","25,650,234","25,475,687","28,890,999","29,775,744","28,758,191","30,945,444","30,822,663","32,153,524","32,805,293","38,697,556","44,822,203","54,847,290"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C201 기초화학물질","종합","매입채무","백만원","원자료","6,966,405","6,579,180","5,310,022","3,983,019","4,152,642","4,631,600","5,780,475","5,223,280","5,334,119","4,480,183","7,520,317","9,132,153","7,771,180","8,799,022"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C202 합성고무 및 플라스틱 물질","종합","매출채권","백만원","원자료","6,592,355","6,922,860","7,500,675","7,740,626","6,306,562","6,691,844","7,599,866","8,996,295","8,774,324","7,413,957","11,195,255","10,843,986","10,787,987","9,296,983"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C202 합성고무 및 플라스틱 물질","종합","유형자산","백만원","원자료","13,610,379","17,877,109","20,624,536","21,170,887","17,104,580","17,271,998","18,700,814","21,716,386","23,238,816","24,845,059","29,305,800","31,171,765","34,696,283","29,260,855"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C202 합성고무 및 플라스틱 물질","종합","매입채무","백만원","원자료","3,450,073","3,549,544","3,881,280","3,740,574","2,719,580","3,324,982","3,622,412","4,509,523","4,240,901","4,000,845","7,097,089","5,522,551","6,130,318","4,593,192"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C203 비료, 농약 및 살균, 살충제","종합","매출채권","백만원","원자료","563,962","787,440","952,381","895,716","669,915","683,662","709,749","715,509","746,154","797,801","956,833","1,101,353","1,399,392","1,243,152"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C203 비료, 농약 및 살균, 살충제","종합","유형자산","백만원","원자료","2,071,830","2,855,067","4,124,519","3,481,955","2,082,981","2,290,330","2,405,448","2,350,581","2,495,641","2,774,218","2,998,080","3,256,844","3,622,090","3,164,885"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C203 비료, 농약 및 살균, 살충제","종합","매입채무","백만원","원자료","446,155","530,430","637,053","595,530","472,078","505,783","554,521","484,100","522,603","514,760","678,726","702,517","855,024","999,489"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C204 기타 화학제품","종합","매출채권","백만원","원자료","6,034,662","5,902,498","5,100,568","5,552,601","7,423,473","8,223,052","8,432,933","8,511,343","7,745,233","7,533,184","8,636,457","10,680,013","10,476,441","12,033,942"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C204 기타 화학제품","종합","유형자산","백만원","원자료","11,556,138","12,436,442","11,344,915","13,106,978","16,575,130","18,399,016","20,106,061","20,640,047","21,282,548","21,264,655","23,136,917","26,728,345","29,050,175","32,597,405"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C204 기타 화학제품","종합","매입채무","백만원","원자료","3,557,869","3,362,778","2,800,624","3,049,132","3,914,565","4,229,866","4,457,580","4,349,265","3,854,342","4,166,888","4,947,726","5,725,774","5,857,104","5,899,077"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C205 화학섬유","종합","매출채권","백만원","원자료","2,176,379","1,837,886","1,496,965","1,386,626","2,143,988","2,041,049","2,312,538","2,827,429","2,483,979","974,822","1,297,346","1,222,630","341,564","366,843"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C205 화학섬유","종합","유형자산","백만원","원자료","4,112,947","4,395,720","3,401,343","3,282,796","6,524,121","6,581,218","6,524,799","6,429,147","6,195,305","3,054,740","3,013,428","3,057,161","1,403,456","1,630,157"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C205 화학섬유","종합","매입채무","백만원","원자료","1,756,848","1,397,994","1,158,126","928,335","1,538,433","1,524,033","1,900,385","1,983,852","1,521,225","543,246","847,027","704,947","285,753","310,829"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C21 의료용 물질 및 의약품","종합","매출채권","백만원","원자료","5,383,193","5,256,994","4,914,576","5,220,193","6,554,871","6,617,742","6,455,405","6,548,552","6,393,557","7,803,701","7,962,997","8,256,217","8,368,108","10,085,794"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C21 의료용 물질 및 의약품","종합","유형자산","백만원","원자료","7,549,676","8,388,340","8,468,042","9,215,801","10,557,897","12,120,950","12,683,138","14,194,048","15,239,696","17,087,764","19,162,886","21,503,374","23,562,054","26,482,332"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C21 의료용 물질 및 의약품","종합","매입채무","백만원","원자료","1,596,814","1,485,221","1,387,284","1,388,851","1,534,513","1,806,749","1,877,074","1,893,764","2,133,614","2,797,877","2,599,846","2,579,412","2,772,230","2,970,438"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C22 고무 및 플라스틱제품","종합","매출채권","백만원","원자료","8,893,700","9,359,360","8,593,085","9,829,860","9,840,103","10,940,984","11,188,015","11,130,300","10,898,123","10,742,968","11,510,110","12,385,406","12,604,870","13,385,579"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C22 고무 및 플라스틱제품","종합","유형자산","백만원","원자료","15,970,294","18,261,100","18,452,849","21,377,372","23,131,600","24,661,232","26,585,672","27,403,580","28,230,517","29,623,059","29,900,722","32,432,332","33,351,033","34,726,373"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C22 고무 및 플라스틱제품","종합","매입채무","백만원","원자료","5,076,523","4,734,868","4,481,949","4,787,412","4,493,060","5,128,226","5,384,968","5,212,823","4,821,333","5,038,034","5,335,342","5,914,643","5,902,327","6,022,110"
