부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.5,0.05,0.2,0.05,0.1,0.1,-0.18398319018579087,0.0001246208737763183
0.25,0.15,0.3,0.05,0.2,0.05,-0.18396748685674175,0.0001247899900212214
0.2,0.05,0.15,0.1,0.45,0.05,-0.18391098900983674,0.00012540022555678032
0.2,0.05,0.1,0.05,0.5,0.1,-0.18384988257723253,0.00012606339326765698
0.3,0.1,0.25,0.1,0.2,0.05,-0.18380533291547366,0.0001265489505335113
0.45,0.15,0.1,0.05,0.2,0.05,-0.1835829259833975,0.00012899940205812844
0.35,0.05,0.3,0.1,0.15,0.05,-0.18351072480744338,0.00012980443924918896
0.45,0.1,0.05,0.05,0.3,0.05,-0.18345644590920837,0.0001304127484803194
0.4,0.05,0.1,0.1,0.3,0.05,-0.18335096050320449,0.0001316025983698006
0.4,0.15,0.1,0.05,0.25,0.05,-0.18332109004033934,0.0001319413773816498
0.55,0.05,0.2,0.05,0.1,0.05,-0.18328507479654188,0.00013235093695885037
0.2,0.1,0.4,0.1,0.15,0.05,-0.18319290308255792,0.00013340454219338733
0.35,0.1,0.3,0.05,0.15,0.05,-0.18279861297273758,0.00013800115973061628
0.35,0.05,0.05,0.05,0.4,0.1,-0.1827607201569886,0.0001384506571771572
0.35,0.05,0.15,0.1,0.3,0.05,-0.18243692433953013,0.00014234806872570708
0.3,0.05,0.2,0.1,0.3,0.05,-0.18186750797314022,0.00014945277445553245
0.45,0.05,0.3,0.05,0.1,0.05,-0.18170501265515368,0.00015154046930752402
0.2,0.05,0.4,0.1,0.2,0.05,-0.18170245232976523,0.00015157358152330426
0.5,0.1,0.05,0.05,0.25,0.05,-0.18167360599705543,0.0001519471151239642
0.2,0.15,0.1,0.05,0.45,0.05,-0.18129518990464344,0.00015692790481249125
0.25,0.05,0.35,0.1,0.2,0.05,-0.1812572970888945,0.00015743500406294197
0.2,0.1,0.35,0.1,0.2,0.05,-0.18093674435026133,0.00016178669531027623
0.2,0.05,0.1,0.1,0.5,0.05,-0.18090328943185235,0.00016224730817809393
0.3,0.1,0.15,0.05,0.3,0.1,-0.18076827493970174,0.00016411873340580014
0.2,0.2,0.25,0.05,0.25,0.05,-0.18076434910743946,0.00016417345064740206
0.4,0.05,0.05,0.05,0.4,0.05,-0.18073969147459124,0.00016451751366237764
0.3,0.15,0.15,0.05,0.3,0.05,-0.18068975829445613,0.0001652163334697917
0.45,0.05,0.05,0.05,0.3,0.1,-0.18066637398924168,0.00016554455504936923
0.2,0.1,0.25,0.05,0.3,0.1,-0.18053699221294567,0.00016737162981758798
0.2,0.15,0.15,0.1,0.35,0.05,-0.18045915832113696,0.00016847985573238707
0.25,0.05,0.35,0.05,0.2,0.1,-0.18006333201608357,0.00017422299539458064
0.3,0.1,0.05,0.05,0.4,0.1,-0.17986448007758113,0.00017717694086401617
0.25,0.05,0.1,0.1,0.4,0.1,-0.1795307843352873,0.00018223968431365286
0.2,0.2,0.2,0.05,0.3,0.05,-0.17917097327403134,0.00018785032040593728
0.2,0.05,0.1,0.05,0.45,0.15,-0.17909040836847498,0.0001891285672969942
0.45,0.05,0.1,0.05,0.25,0.1,-0.17890196841988554,0.00019215024603732152
0.3,0.1,0.3,0.1,0.15,0.05,-0.17887448759404959,0.00019259466629941623
0.25,0.1,0.1,0.1,0.35,0.1,-0.17881047945933848,0.0001936335415153893
0.2,0.05,0.15,0.1,0.4,0.1,-0.1787742935271818,0.00019422317181324808
0.35,0.15,0.25,0.05,0.15,0.05,-0.17874937302673427,0.0001946302151424314
0.25,0.15,0.1,0.1,0.35,0.05,-0.17868604764546012,0.00019566814804795313
0.3,0.15,0.2,0.1,0.2,0.05,-0.17829653680969823,0.00020216726602460155
0.2,0.15,0.1,0.05,0.4,0.1,-0.17819753756134507,0.00020385101529236672
0.2,0.15,0.35,0.05,0.2,0.05,-0.1778307282773607,0.00021020470077222516
0.35,0.05,0.1,0.1,0.35,0.05,-0.1777926647732525,0.00021087452620594123
0.45,0.05,0.1,0.1,0.25,0.05,-0.17754267346857594,0.00021532365143269263
0.4,0.1,0.1,0.05,0.25,0.1,-0.17751700307309673,0.00021578544963850278
0.35,0.05,0.2,0.05,0.25,0.1,-0.17723963448934868,0.00022083463056416807
0.3,0.05,0.35,0.1,0.15,0.05,-0.17716333679277305,0.00022224280438730553
0.25,0.15,0.25,0.1,0.2,0.05,-0.1770899407983043,0.0002236053464164817
0.2,0.15,0.25,0.1,0.25,0.05,-0.1770645082327791,0.00022407930320945222
0.25,0.05,0.35,0.1,0.15,0.1,-0.1770426601227977,0.0002244872109348611
0.4,0.1,0.25,0.05,0.15,0.05,-0.1768774337910635,0.00022759457585209194
0.35,0.05,0.3,0.05,0.15,0.1,-0.17668575076364867,0.00023124989847658867
