변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,유동자산회전율,도입기 vs 성장기,0.8111,2.1953,-1.3842,458.9212,0.0,***
기본 재무비율,유동자산회전율,도입기 vs 성숙기,0.8111,2.1358,-1.3246,934.5358,0.0,***
기본 재무비율,유동자산회전율,도입기 vs 쇠퇴기,0.8111,0.7482,0.063,1.576,0.6649,n.s.
기본 재무비율,유동자산회전율,성장기 vs 성숙기,2.1953,2.1358,0.0596,0.8193,0.8448,n.s.
기본 재무비율,유동자산회전율,성장기 vs 쇠퇴기,2.1953,0.7482,1.4472,421.6049,0.0,***
기본 재무비율,유동자산회전율,성숙기 vs 쇠퇴기,2.1358,0.7482,1.3876,721.1486,0.0,***
기본 재무비율,비유동자산회전율,도입기 vs 성장기,41.5382,22.2875,19.2507,12.435,0.006,**
기본 재무비율,비유동자산회전율,도입기 vs 성숙기,41.5382,69.8787,-28.3405,59.9276,0.0,***
기본 재무비율,비유동자산회전율,도입기 vs 쇠퇴기,41.5382,31.9667,9.5715,5.1015,0.1646,n.s.
기본 재무비율,비유동자산회전율,성장기 vs 성숙기,22.2875,69.8787,-47.5912,73.2918,0.0,***
기본 재무비율,비유동자산회전율,성장기 vs 쇠퇴기,22.2875,31.9667,-9.6792,2.6422,0.4502,n.s.
기본 재무비율,비유동자산회전율,성숙기 vs 쇠퇴기,69.8787,31.9667,37.912,75.4148,0.0,***
기본 재무비율,유형자산회전율,도입기 vs 성장기,216.4573,97.8524,118.6049,17.3735,0.0006,***
기본 재무비율,유형자산회전율,도입기 vs 성숙기,216.4573,338.5264,-122.0691,40.9215,0.0,***
기본 재무비율,유형자산회전율,도입기 vs 쇠퇴기,216.4573,172.4459,44.0114,3.9701,0.2648,n.s.
기본 재무비율,유형자산회전율,성장기 vs 성숙기,97.8524,338.5264,-240.674,68.9906,0.0,***
기본 재무비율,유형자산회전율,성장기 vs 쇠퇴기,97.8524,172.4459,-74.5935,5.7758,0.1231,n.s.
기본 재무비율,유형자산회전율,성숙기 vs 쇠퇴기,338.5264,172.4459,166.0805,53.2684,0.0,***
기본 재무비율,자기자본회전율,도입기 vs 성장기,1.2758,2.7207,-1.4448,80.8124,0.0,***
기본 재무비율,자기자본회전율,도입기 vs 성숙기,1.2758,3.4608,-2.185,410.9588,0.0,***
기본 재무비율,자기자본회전율,도입기 vs 쇠퇴기,1.2758,1.4862,-0.2104,2.8432,0.4165,n.s.
기본 재무비율,자기자본회전율,성장기 vs 성숙기,2.7207,3.4608,-0.7402,20.452,0.0001,***
기본 재무비율,자기자본회전율,성장기 vs 쇠퇴기,2.7207,1.4862,1.2345,49.582,0.0,***
기본 재무비율,자기자본회전율,성숙기 vs 쇠퇴기,3.4608,1.4862,1.9746,236.0241,0.0,***
기본 재무비율,투하자본회전율,도입기 vs 성장기,0.4188,1.2137,-0.7949,82.1529,0.0,***
기본 재무비율,투하자본회전율,도입기 vs 성숙기,0.4188,2.1098,-1.691,826.7738,0.0,***
기본 재무비율,투하자본회전율,도입기 vs 쇠퇴기,0.4188,0.6624,-0.2435,12.7989,0.0051,**
기본 재무비율,투하자본회전율,성장기 vs 성숙기,1.2137,2.1098,-0.8961,100.7029,0.0,***
기본 재무비율,투하자본회전율,성장기 vs 쇠퇴기,1.2137,0.6624,0.5513,33.2182,0.0,***
기본 재무비율,투하자본회전율,성숙기 vs 쇠퇴기,2.1098,0.6624,1.4475,425.9943,0.0,***
기본 재무비율,매출채권회전율,도입기 vs 성장기,1132.2097,608.4028,523.8069,245.0527,0.0,***
기본 재무비율,매출채권회전율,도입기 vs 성숙기,1132.2097,636.4523,495.7574,488.105,0.0,***
기본 재무비율,매출채권회전율,도입기 vs 쇠퇴기,1132.2097,936.2168,195.9929,56.9355,0.0,***
기본 재무비율,매출채권회전율,성장기 vs 성숙기,608.4028,636.4523,-28.0495,0.6777,0.8784,n.s.
기본 재무비율,매출채권회전율,성장기 vs 쇠퇴기,608.4028,936.2168,-327.814,80.6678,0.0,***
기본 재무비율,매출채권회전율,성숙기 vs 쇠퇴기,636.4523,936.2168,-299.7644,125.4951,0.0,***
기본 재무비율,매출채권회수기간,도입기 vs 성장기,2472.0735,1195.1398,1276.9337,322.7796,0.0,***
기본 재무비율,매출채권회수기간,도입기 vs 성숙기,2472.0735,1225.8036,1246.2699,683.6777,0.0,***
기본 재무비율,매출채권회수기간,도입기 vs 쇠퇴기,2472.0735,2267.5941,204.4794,13.7358,0.0033,**
기본 재무비율,매출채권회수기간,성장기 vs 성숙기,1195.1398,1225.8036,-30.6638,0.1795,0.9808,n.s.
기본 재무비율,매출채권회수기간,성장기 vs 쇠퇴기,1195.1398,2267.5941,-1072.4543,191.3617,0.0,***
