변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
전기대비_비율(ratio),영업이익률변화_ratio,8.7809,8e-06,***,0.0044,소
전기대비_비율(ratio),부채비율변화_ratio,0.85,0.466376,n.s.,0.0004,소
전기대비_비율(ratio),유동비율변화_ratio,0.1415,0.935105,n.s.,0.0001,소
전기대비_비율(ratio),부실라벨_ICR3년_ratio,75.6838,0.0,***,0.0423,소
전기대비_비율(ratio),업력_ratio,36.6005,0.0,***,0.0179,소
전기대비_비율(ratio),빅4감사_ratio,47.9585,0.0,***,0.0233,소
산업대비_변화량(diff_industry),매출액영업이익률_diff_industry,63.1572,0.0,***,0.0305,소
산업대비_변화량(diff_industry),EBIT대매출액_diff_industry,63.1117,0.0,***,0.0305,소
산업대비_변화량(diff_industry),EBITDA대매출액_diff_industry,64.8465,0.0,***,0.0313,소
산업대비_변화량(diff_industry),매출원가대매출액_diff_industry,7.1993,8e-05,***,0.0036,소
산업대비_변화량(diff_industry),매출액순이익률_diff_industry,71.1507,0.0,***,0.0342,소
산업대비_변화량(diff_industry),사내유보율_diff_industry,80.0183,0.0,***,0.0383,소
산업대비_변화량(diff_industry),금융비용대매출액_diff_industry,105.7894,0.0,***,0.05,소
산업대비_변화량(diff_industry),자기자본비율_diff_industry,163.8957,0.0,***,0.0755,중
산업대비_변화량(diff_industry),부채비율_diff_industry,88.2105,0.0,***,0.0421,소
산업대비_변화량(diff_industry),유동비율_diff_industry,82.8912,0.0,***,0.0396,소
산업대비_변화량(diff_industry),당좌비율_diff_industry,83.2345,0.0,***,0.0398,소
산업대비_변화량(diff_industry),현금비율_diff_industry,88.3115,0.0,***,0.0421,소
산업대비_변화량(diff_industry),순운전자본대총자본_diff_industry,162.5244,0.0,***,0.0749,중
산업대비_변화량(diff_industry),비유동비율_diff_industry,82.238,0.0,***,0.0393,소
산업대비_변화량(diff_industry),비유동장기적합률_diff_industry,36.5903,0.0,***,0.0179,소
산업대비_변화량(diff_industry),차입금의존도_diff_industry,401.8275,0.0,***,0.1667,대
산업대비_변화량(diff_industry),총자산회전율_diff_industry,17.9423,0.0,***,0.0089,소
산업대비_변화량(diff_industry),자기자본회전율_diff_industry,2.9233,0.032594,*,0.0015,소
