통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C133,4,9 기타 섬유제품","종합","영업손익","백만원","원자료","510,943","547,384","520,041","474,207","585,942","522,904","397,929","426,000","708,691","323,718","375,655","293,838","343,511"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C14 의복, 의복액세서리 및 모피제품","종합","매출액","백만원","원자료","34,306,237","38,379,023","42,203,732","41,321,695","41,328,728","43,701,652","43,941,023","43,892,027","39,578,512","45,033,989","53,025,320","55,902,868","57,949,199"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C14 의복, 의복액세서리 및 모피제품","종합","매출원가","백만원","원자료","22,426,205","25,507,582","27,904,154","27,742,200","27,721,577","29,670,084","29,822,575","29,275,460","26,874,269","29,506,001","34,242,040","35,775,006","37,666,409"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C14 의복, 의복액세서리 및 모피제품","종합","영업손익","백만원","원자료","1,647,585","1,887,901","1,790,978","1,843,132","1,607,343","1,634,856","1,721,631","1,794,172","1,118,254","2,371,837","3,765,489","3,507,300","3,039,110"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C15 가죽, 가방 및 신발","종합","매출액","백만원","원자료","9,632,864","10,504,116","10,767,568","10,327,202","10,294,697","11,171,373","11,034,686","11,850,731","9,366,597","10,109,553","11,918,726","10,910,656","11,524,190"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C15 가죽, 가방 및 신발","종합","매출원가","백만원","원자료","7,301,674","8,014,048","8,171,193","7,968,629","7,887,363","8,660,378","8,459,982","9,013,868","7,300,126","7,735,405","9,274,663","8,275,639","8,797,850"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C15 가죽, 가방 및 신발","종합","영업손익","백만원","원자료","593,018","670,164","648,777","489,767","498,058","562,424","510,923","635,367","246,459","464,331","704,567","668,379","723,757"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C16 목재 및 나무제품(가구 제외)","종합","매출액","백만원","원자료","6,000,813","6,290,128","7,170,579","7,797,539","8,146,213","8,448,669","8,772,845","8,158,533","8,123,377","9,874,581","10,301,499","9,917,907","9,758,701"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C16 목재 및 나무제품(가구 제외)","종합","매출원가","백만원","원자료","5,134,925","5,339,618","6,051,504","6,576,215","6,839,914","7,167,576","7,465,643","6,877,795","6,805,751","8,243,814","8,658,186","8,295,853","8,105,002"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C16 목재 및 나무제품(가구 제외)","종합","영업손익","백만원","원자료","201,636","269,406","330,688","373,085","418,318","329,257","327,201","267,182","264,267","426,846","342,323","277,882","261,230"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C17 펄프, 종이 및 종이제품","종합","매출액","백만원","원자료","21,315,889","21,079,010","21,356,900","21,515,996","22,284,559","23,591,749","24,737,738","24,191,975","24,830,623","27,952,950","30,841,469","30,272,527","31,106,453"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C17 펄프, 종이 및 종이제품","종합","매출원가","백만원","원자료","17,738,586","17,547,687","17,821,294","17,990,284","18,458,556","20,045,266","20,590,655","20,056,974","20,235,595","23,282,573","25,735,931","25,249,127","26,060,979"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C17 펄프, 종이 및 종이제품","종합","영업손익","백만원","원자료","1,177,378","1,059,026","882,252","758,356","1,068,090","748,222","1,359,231","1,270,216","1,528,960","1,398,129","1,470,888","1,320,712","1,120,928"
