사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
1018124696,태원과학주식회사,2020,조정기,0,0.0,29.0,67.03,47.95,0.03,50.5,17.4,매우 안정,
1018124696,태원과학주식회사,2021,조정기,0,77.37,31.7,70.41,51.65,0.04,49.43,22.3,매우 안정,
1018124696,태원과학주식회사,2022,조정기,0,88.19,34.7,94.01,25.34,0.01,51.29,24.6,매우 안정,
1018124696,태원과학주식회사,2023,조정기,0,62.46,33.5,94.68,40.54,0.02,47.78,23.7,매우 안정,
1018124696,태원과학주식회사,2024,쇠퇴기,0,77.47,82.9,100.0,48.86,0.07,48.83,35.4,안정,
1018124906,국제갤러리홀딩(주),2015,도입기,0,100.0,75.7,0.0,31.72,0.13,49.97,24.3,매우 안정,
1018124906,국제갤러리홀딩(주),2016,도입기,0,56.26,80.6,42.55,59.44,0.02,50.75,28.7,매우 안정,
1018124906,국제갤러리홀딩(주),2017,쇠퇴기,0,34.84,100.0,47.46,46.43,52.3,76.57,61.4,매우 위험,
1018124906,국제갤러리홀딩(주),2018,성장기,0,25.54,4.0,70.94,56.39,22.49,33.17,26.0,매우 안정,
1018124906,국제갤러리홀딩(주),2019,성숙기,0,56.69,0.0,63.92,52.55,39.71,56.79,36.5,안정,
1018124906,국제갤러리홀딩(주),2020,성숙기,0,0.0,0.0,67.03,53.03,0.18,29.4,10.9,매우 안정,
1018124906,국제갤러리홀딩(주),2021,성숙기,0,77.37,2.6,70.41,59.08,0.13,49.4,16.9,매우 안정,
1018124906,국제갤러리홀딩(주),2022,성숙기,0,88.19,0.0,94.01,34.52,0.49,51.49,18.4,매우 안정,
1018124906,국제갤러리홀딩(주),2023,쇠퇴기,0,62.46,96.6,94.68,49.13,69.45,85.94,76.9,매우 위험,
1018124906,국제갤러리홀딩(주),2024,쇠퇴기,0,77.47,82.9,100.0,54.79,96.31,62.88,89.3,매우 위험,
1018125905,(주)대한과학,2015,성숙기,0,100.0,3.2,0.0,46.87,53.39,75.5,41.1,중립,
1018125905,(주)대한과학,2016,조정기,0,56.26,25.3,42.55,50.2,0.12,22.61,15.8,매우 안정,
1018125905,(주)대한과학,2017,성숙기,0,34.84,0.0,47.46,40.55,0.04,48.87,11.0,매우 안정,
1018125905,(주)대한과학,2018,성숙기,0,25.54,0.0,70.94,50.43,0.02,48.92,13.3,매우 안정,
1018125905,(주)대한과학,2019,성숙기,0,56.69,0.0,63.92,46.27,0.04,47.43,13.9,매우 안정,
1018125905,(주)대한과학,2020,성숙기,0,0.0,0.0,67.03,53.91,0.01,50.49,11.9,매우 안정,
1018125905,(주)대한과학,2021,성숙기,0,77.37,2.6,70.41,56.78,0.04,49.44,16.8,매우 안정,
1018125905,(주)대한과학,2022,성숙기,0,88.19,0.0,94.01,26.62,0.01,51.29,17.7,매우 안정,
1018125905,(주)대한과학,2023,성숙기,0,62.46,0.0,94.68,41.96,0.02,47.78,17.1,매우 안정,
1018125905,(주)대한과학,2024,성숙기,0,77.47,0.0,100.0,49.54,0.02,48.8,18.8,매우 안정,
1018135174,(주)아이리스코리아,2015,성숙기,0,100.0,3.2,0.0,45.46,14.99,55.62,18.9,매우 안정,
1018135174,(주)아이리스코리아,2016,성숙기,0,56.26,0.0,42.55,50.69,0.04,42.9,11.8,매우 안정,
1018135174,(주)아이리스코리아,2017,조정기,0,34.84,21.8,47.46,40.62,0.04,48.91,15.3,매우 안정,
1018135174,(주)아이리스코리아,2018,성장기,0,25.54,4.0,70.94,53.6,0.09,48.96,14.3,매우 안정,
1018135174,(주)아이리스코리아,2019,도입기,0,56.69,89.9,63.92,47.63,90.82,96.93,84.4,매우 위험,
1018135174,(주)아이리스코리아,2020,도입기,0,0.0,100.0,67.03,56.1,92.97,51.77,83.2,매우 위험,
1018135174,(주)아이리스코리아,2021,도입기,1,77.37,82.6,70.41,51.34,92.22,49.08,83.2,매우 위험,
1018135719,(주)앳플리,2022,도입기,0,88.19,76.6,94.01,28.58,0.49,51.3,33.4,안정,
1018135719,(주)앳플리,2023,도입기,0,62.46,100.0,94.68,43.91,5.5,50.55,40.3,중립,
1018135719,(주)앳플리,2024,도입기,1,77.47,100.0,100.0,50.6,92.11,95.02,91.8,매우 위험,
1018135742,에이치엠디바이스코리아(주),2016,조정기,0,56.26,25.3,42.55,49.61,0.02,50.81,17.2,매우 안정,
1018135742,에이치엠디바이스코리아(주),2017,조정기,0,34.84,21.8,47.46,39.77,0.01,48.91,15.3,매우 안정,
1018135742,에이치엠디바이스코리아(주),2018,조정기,0,25.54,30.2,70.94,50.75,0.01,48.93,19.4,매우 안정,
1018135742,에이치엠디바이스코리아(주),2019,조정기,0,56.69,30.1,63.92,46.51,0.01,47.42,19.9,매우 안정,
1018135742,에이치엠디바이스코리아(주),2020,조정기,0,0.0,29.0,67.03,55.75,0.01,50.51,17.8,매우 안정,
1018135742,에이치엠디바이스코리아(주),2021,성장기,0,77.37,0.0,70.41,58.22,0.01,49.42,16.3,매우 안정,
1018135742,에이치엠디바이스코리아(주),2022,도입기,0,88.19,76.6,94.01,28.18,0.01,51.3,33.1,안정,
1018135742,에이치엠디바이스코리아(주),2023,쇠퇴기,0,62.46,96.6,94.68,43.66,0.03,47.79,36.5,안정,
1018135742,에이치엠디바이스코리아(주),2024,조정기,0,77.47,31.7,100.0,50.69,0.02,48.8,25.2,매우 안정,
1018136659,성준전기(주),2020,성숙기,0,0.0,0.0,67.03,56.82,0.01,50.51,12.1,매우 안정,
1018136659,성준전기(주),2021,성숙기,0,77.37,2.6,70.41,59.96,0.01,49.42,16.9,매우 안정,
1018136659,성준전기(주),2022,성숙기,0,88.19,0.0,94.01,28.58,0.0,51.3,17.8,매우 안정,
1018136659,성준전기(주),2023,성숙기,0,62.46,0.0,94.68,43.49,0.01,47.78,17.2,매우 안정,
1018136659,성준전기(주),2024,성숙기,0,77.47,0.0,100.0,50.8,0.01,48.8,18.9,매우 안정,
1018138303,(주)비엘에스,2017,성숙기,0,34.84,0.0,47.46,39.77,0.02,48.91,10.9,매우 안정,
1018138303,(주)비엘에스,2018,조정기,0,25.54,30.2,70.94,50.75,0.04,48.94,19.4,매우 안정,
1018138303,(주)비엘에스,2019,조정기,0,56.69,30.1,63.92,48.47,0.07,47.44,20.1,매우 안정,
1018138303,(주)비엘에스,2020,조정기,0,0.0,29.0,67.03,59.01,0.03,50.49,18.0,매우 안정,
1018138303,(주)비엘에스,2021,조정기,0,77.37,31.7,70.41,55.43,0.05,49.44,22.5,매우 안정,
1018138303,(주)비엘에스,2022,성숙기,0,88.19,0.0,94.01,27.12,0.02,51.29,17.7,매우 안정,
1018138303,(주)비엘에스,2023,조정기,0,62.46,33.5,94.68,42.2,0.05,47.79,23.8,매우 안정,
1018138303,(주)비엘에스,2024,성숙기,0,77.47,0.0,100.0,49.74,0.03,48.79,18.8,매우 안정,
1018139753,주식회사교원,2015,성숙기,0,100.0,3.2,0.0,49.73,0.09,49.98,10.7,매우 안정,
1018139753,주식회사교원,2016,성숙기,0,56.26,0.0,42.55,50.05,0.44,51.0,12.4,매우 안정,
1018139753,주식회사교원,2017,쇠퇴기,0,34.84,100.0,47.46,40.19,7.8,52.8,35.4,안정,
1018139753,주식회사교원,2018,쇠퇴기,0,25.54,100.0,70.94,50.59,5.12,47.52,36.1,안정,
1018139753,주식회사교원,2019,쇠퇴기,0,56.69,100.0,63.92,48.13,59.38,77.02,68.1,매우 위험,
1018139753,주식회사교원,2020,쇠퇴기,0,0.0,96.8,67.03,54.72,57.22,49.42,62.7,매우 위험,
1018142296,주식회사광도케이블,2021,조정기,0,77.37,31.7,70.41,59.96,0.1,49.42,22.8,매우 안정,
1018142296,주식회사광도케이블,2022,조정기,0,88.19,34.7,94.01,28.58,0.02,51.26,24.8,매우 안정,
1018142296,주식회사광도케이블,2023,조정기,0,62.46,33.5,94.68,43.91,7.65,52.0,28.3,매우 안정,
1018142296,주식회사광도케이블,2024,조정기,0,77.47,31.7,100.0,51.88,48.37,70.52,52.9,위험,
1018144673,주식회사잇츠,2019,도입기,0,56.69,89.9,63.92,48.47,0.07,47.42,32.0,안정,
1018144673,주식회사잇츠,2020,성숙기,0,0.0,0.0,67.03,56.82,0.03,50.49,12.1,매우 안정,
1018144673,주식회사잇츠,2021,성장기,0,77.37,0.0,70.41,59.96,0.27,49.55,16.5,매우 안정,
