부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.6,0.05,0.15,0.05,0.05,0.1,0.24803150224970283,1.4184096336348106e-64
0.5,0.05,0.25,0.1,0.05,0.05,0.2479725397944502,1.52262031849178e-64
0.35,0.1,0.3,0.05,0.15,0.05,0.2479155281132822,1.630628615733054e-64
0.25,0.05,0.45,0.15,0.05,0.05,0.24789283620812025,1.675712169649052e-64
0.25,0.2,0.35,0.05,0.05,0.1,0.24786148591337115,1.7400476990599773e-64
0.4,0.05,0.25,0.05,0.15,0.1,0.24784991961910552,1.7643998789160284e-64
0.25,0.15,0.3,0.05,0.05,0.2,0.24784966242813258,1.7649452212719648e-64
0.3,0.05,0.3,0.1,0.1,0.15,0.24782321462043394,1.8219304839576548e-64
0.4,0.1,0.25,0.05,0.05,0.15,0.2477410925271646,2.0108185864404092e-64
0.25,0.1,0.25,0.05,0.05,0.3,0.24768484001720878,2.1513409425154785e-64
0.2,0.05,0.4,0.15,0.05,0.15,0.24764070949019468,2.268394555636566e-64
0.3,0.1,0.35,0.1,0.1,0.05,0.24759455471522362,2.3976094993307135e-64
0.35,0.05,0.2,0.05,0.05,0.3,0.2475554387618417,2.5128416320310885e-64
0.3,0.15,0.3,0.05,0.1,0.1,0.2474176870140022,2.9643571265798985e-64
0.55,0.1,0.2,0.05,0.05,0.05,0.2474052798380309,3.0087920025001416e-64
0.3,0.1,0.35,0.05,0.15,0.05,0.24735064485122568,3.2124891698134786e-64
0.2,0.15,0.35,0.05,0.1,0.15,0.24725017917741604,3.623578655326273e-64
0.25,0.15,0.35,0.05,0.1,0.1,0.24710220502406868,4.326334996038109e-64
0.2,0.1,0.4,0.05,0.2,0.05,0.24707845501968176,4.451138293508321e-64
0.3,0.1,0.35,0.1,0.05,0.1,0.24705963151387397,4.552595967465311e-64
0.2,0.05,0.3,0.05,0.05,0.35,0.24689883436874824,5.5187126081534956e-64
0.4,0.05,0.3,0.1,0.1,0.05,0.2468444798464299,5.889469766221371e-64
