사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1078793489,파크호텔주식회사,2020,도입기,1,100.0,100.0,47.19,68.42,72.94,35.36,75.0,매우 위험
1078794436,주식회사한승투자개발,2015,도입기,0,100.0,23.98,0.0,48.25,56.13,73.62,58.2,위험
1078794436,주식회사한승투자개발,2016,도입기,1,100.0,14.93,23.03,48.68,71.35,54.62,67.5,매우 위험
1088115238,(주)진주랑,2018,성장기,0,13.5,26.79,10.71,60.36,37.58,48.17,31.2,안정
1088115238,(주)진주랑,2019,쇠퇴기,0,51.6,25.63,35.62,56.91,60.22,64.98,54.4,위험
1088115238,(주)진주랑,2020,성숙기,1,0.0,100.0,47.19,68.42,81.42,52.26,60.5,매우 위험
1088176929,주식회사제이알더블유,2015,성숙기,0,0.0,23.98,0.0,48.25,16.55,43.93,14.9,매우 안정
1088176929,주식회사제이알더블유,2016,성숙기,0,0.0,14.93,23.03,48.68,1.12,36.64,7.9,매우 안정
1088176929,주식회사제이알더블유,2017,성숙기,0,0.0,33.0,21.26,55.07,5.32,47.4,11.8,매우 안정
1088176929,주식회사제이알더블유,2018,성숙기,0,0.0,26.79,10.71,64.23,2.17,46.19,9.1,매우 안정
1088176929,주식회사제이알더블유,2019,성숙기,0,0.0,25.63,35.62,62.07,1.92,50.69,11.5,매우 안정
1088176929,주식회사제이알더블유,2020,성숙기,0,0.0,100.0,47.19,72.38,10.83,43.69,21.5,매우 안정
1088176929,주식회사제이알더블유,2021,성숙기,0,0.0,30.53,100.0,82.22,72.11,83.16,59.5,위험
1088176929,주식회사제이알더블유,2022,쇠퇴기,1,75.5,6.24,90.96,52.23,10.49,13.71,33.6,안정
1088190616,주식회사포씨즈,2015,도입기,0,100.0,23.98,0.0,48.25,36.19,58.86,46.5,중립
1088190616,주식회사포씨즈,2016,도입기,1,100.0,14.93,23.03,48.68,93.16,79.08,80.7,매우 위험
1088196153,(주)더레스토랑컴퍼니,2021,성장기,0,12.9,30.53,100.0,79.77,1.59,46.43,21.3,매우 안정
1088196153,(주)더레스토랑컴퍼니,2022,성장기,0,18.5,6.24,90.96,47.52,1.46,48.05,18.7,매우 안정
1088196153,(주)더레스토랑컴퍼니,2023,성장기,0,30.8,0.0,93.02,64.83,2.97,42.49,22.5,매우 안정
1088196153,(주)더레스토랑컴퍼니,2024,성장기,0,36.7,11.1,88.96,53.53,21.93,50.95,34.1,안정
1088199320,주식회사그린씨앤디,2016,성장기,0,24.9,14.93,23.03,48.68,18.75,45.72,23.1,매우 안정
1088199320,주식회사그린씨앤디,2017,성장기,0,8.9,33.0,21.26,51.88,65.46,71.93,47.7,중립
1088199320,주식회사그린씨앤디,2018,성장기,0,13.5,26.79,10.71,60.36,71.65,53.52,50.2,위험
1088199320,주식회사그린씨앤디,2019,쇠퇴기,1,51.6,25.63,35.62,21.05,84.9,59.07,65.9,매우 위험
1098110876,주식회사호텔그랜드유통,2015,도입기,0,100.0,23.98,0.0,73.67,35.57,32.7,46.1,중립
1098110876,주식회사호텔그랜드유통,2016,도입기,0,100.0,14.93,23.03,,68.8,65.17,,매우 안정
1098110876,주식회사호텔그랜드유통,2017,조정기,1,36.3,33.0,21.26,60.67,74.13,48.56,57.3,위험
1098117563,주식회사나이아가라관광,2015,조정기,0,76.2,23.98,0.0,46.38,85.62,88.57,70.3,매우 위험
1098117563,주식회사나이아가라관광,2016,조정기,0,77.0,14.93,23.03,46.1,7.63,0.0,25.0,매우 안정
1098117563,주식회사나이아가라관광,2017,쇠퇴기,0,25.7,33.0,21.26,49.62,84.68,89.25,62.4,매우 위험
1098117563,주식회사나이아가라관광,2018,성숙기,0,0.0,26.79,10.71,56.76,76.42,44.56,49.5,중립
1098117563,주식회사나이아가라관광,2019,조정기,1,30.2,25.63,35.62,50.6,89.88,59.19,65.8,매우 위험
1098136070,정림개발주식회사,2015,성장기,1,25.7,23.98,0.0,47.72,100.0,87.69,68.1,매우 위험
1098139795,메이플레이스(주),2015,도입기,1,100.0,23.98,0.0,48.25,78.14,43.78,68.8,매우 위험
1098171140,(주)KAL호텔네트워크,2015,성장기,0,25.7,23.98,0.0,59.05,74.93,47.03,52.9,위험
1098171140,(주)KAL호텔네트워크,2016,성숙기,1,0.0,14.93,23.03,47.3,93.39,56.52,59.6,위험
1098173449,(주)뉴세림,2015,성숙기,0,0.0,23.98,0.0,48.25,15.91,37.18,14.2,매우 안정
1098623094,에스아이엔플러스(주),2016,도입기,0,100.0,14.93,23.03,48.68,26.87,45.72,42.5,중립
1098623094,에스아이엔플러스(주),2017,도입기,0,100.0,33.0,21.26,51.88,89.85,81.33,79.9,매우 위험
