변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,비유동자산회전율,성장기 vs 성숙기,0.8945,1.8742,-0.9797,13.1582,0.0045,**
기본 재무비율,비유동자산회전율,성장기 vs 쇠퇴기,0.8945,0.9803,-0.0858,0.057,0.9964,n.s.
기본 재무비율,비유동자산회전율,성숙기 vs 쇠퇴기,1.8742,0.9803,0.8939,7.5136,0.058,n.s.
기본 재무비율,유형자산회전율,도입기 vs 성장기,3.7057,1.7467,1.959,0.8721,0.8321,n.s.
기본 재무비율,유형자산회전율,도입기 vs 성숙기,3.7057,9.4948,-5.7891,10.8737,0.0128,*
기본 재무비율,유형자산회전율,도입기 vs 쇠퇴기,3.7057,8.9602,-5.2545,4.3616,0.2259,n.s.
기본 재무비율,유형자산회전율,성장기 vs 성숙기,1.7467,9.4948,-7.7481,14.2494,0.0027,**
기본 재무비율,유형자산회전율,성장기 vs 쇠퇴기,1.7467,8.9602,-7.2134,6.9741,0.0736,n.s.
기본 재무비율,유형자산회전율,성숙기 vs 쇠퇴기,9.4948,8.9602,0.5346,0.0465,0.9974,n.s.
기본 재무비율,자기자본회전율,도입기 vs 성장기,1.2531,3.51,-2.2569,23.0025,0.0,***
기본 재무비율,자기자본회전율,도입기 vs 성숙기,1.2531,2.9529,-1.6998,18.6304,0.0004,***
기본 재무비율,자기자본회전율,도입기 vs 쇠퇴기,1.2531,1.7187,-0.4657,0.6808,0.8777,n.s.
기본 재무비율,자기자본회전율,성장기 vs 성숙기,3.51,2.9529,0.5571,1.4638,0.6908,n.s.
기본 재무비율,자기자본회전율,성장기 vs 쇠퇴기,3.51,1.7187,1.7912,8.5459,0.0367,*
기본 재무비율,자기자본회전율,성숙기 vs 쇠퇴기,2.9529,1.7187,1.2342,4.9277,0.1781,n.s.
기본 재무비율,투하자본회전율,도입기 vs 성장기,0.4951,1.0588,-0.5637,5.4194,0.1445,n.s.
기본 재무비율,투하자본회전율,도입기 vs 성숙기,0.4951,1.6893,-1.1941,34.7244,0.0,***
기본 재무비율,투하자본회전율,도입기 vs 쇠퇴기,0.4951,0.6628,-0.1677,0.3333,0.9536,n.s.
기본 재무비율,투하자본회전율,성장기 vs 성숙기,1.0588,1.6893,-0.6304,7.0807,0.0702,n.s.
기본 재무비율,투하자본회전율,성장기 vs 쇠퇴기,1.0588,0.6628,0.396,1.5778,0.6646,n.s.
기본 재무비율,투하자본회전율,성숙기 vs 쇠퇴기,1.6893,0.6628,1.0265,12.8743,0.0052,**
기본 재무비율,매출채권회수기간,도입기 vs 성장기,67.183,31.84,35.3431,12.134,0.0072,**
기본 재무비율,매출채권회수기간,도입기 vs 성숙기,67.183,50.4612,16.7219,3.8782,0.2758,n.s.
기본 재무비율,매출채권회수기간,도입기 vs 쇠퇴기,67.183,88.1661,-20.9831,2.9732,0.3964,n.s.
기본 재무비율,매출채권회수기간,성장기 vs 성숙기,31.84,50.4612,-18.6212,3.5182,0.3192,n.s.
기본 재무비율,매출채권회수기간,성장기 vs 쇠퇴기,31.84,88.1661,-56.3261,18.177,0.0004,***
기본 재무비율,매출채권회수기간,성숙기 vs 쇠퇴기,50.4612,88.1661,-37.7049,9.8934,0.02,*
기본 재무비율,재고자산보유기간,도입기 vs 성장기,2202.7241,1288.1128,914.6112,4.3483,0.2271,n.s.
기본 재무비율,재고자산보유기간,도입기 vs 성숙기,2202.7241,1313.0715,889.6526,5.8742,0.1189,n.s.
기본 재무비율,재고자산보유기간,도입기 vs 쇠퇴기,2202.7241,3463.8348,-1261.1107,5.7471,0.1256,n.s.
기본 재무비율,재고자산보유기간,성장기 vs 성숙기,1288.1128,1313.0715,-24.9587,0.0034,0.9999,n.s.
