사업자등록번호,회사명,prob_2021,prob_2022,prob_2023,prob_2024,pred_label_2021,pred_label_2022,pred_label_2023,pred_label_2024,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
1208166488,(주)아베스포츠,0.0054,0.0083,0.2261,0.7332,0,0,0,1,0.0029,0.2178,0.5071,90.73
1048605825,(주)피피앤와이인터내셔날,0.0039,0.0059,0.2642,0.74,0,0,0,1,0.002,0.2583,0.4758,90.67
1418121907,(주)올랜드아울렛,0.023,0.0359,0.6841,0.8041,0,0,1,1,0.0129,0.6482,0.12,90.64
1298147625,주식회사레뱅,0.0006,0.0001,0.4301,0.9429,0,0,0,1,-0.0005,0.43,0.5128,90.63
2018635431,주식회사명연에너지,0.0678,0.1755,0.2812,0.7144,0,0,0,1,0.1077,0.1057,0.4332,90.62
1248179461,주식회사조암월드마트,0.0014,0.3461,0.8569,0.8828,0,0,1,1,0.3447,0.5108,0.0259,90.61
2068184567,(주)지피클럽,0.0003,0.0002,0.0064,0.9337,0,0,0,1,-0.0001,0.0062,0.9273,90.58
1418101653,모토스타코리아(주),0.0006,0.0004,0.3658,0.8745,0,0,0,1,-0.0002,0.3654,0.5087,90.56
1088150666,(주)범호통상,0.0007,0.0419,0.8212,0.8618,0,0,1,1,0.0412,0.7793,0.0406,90.54
1198121778,에프에이코리아(주),0.0011,0.0013,0.0934,0.7569,0,0,0,1,0.0002,0.0921,0.6635,90.43
2208628907,(주)인터펫코리아,0.0093,0.484,0.4949,0.7958,0,1,1,1,0.4747,0.0109,0.3009,90.36
1058162708,(주)에스디상사,0.0101,0.03,0.0403,0.7212,0,0,0,1,0.0199,0.0103,0.6809,90.24
1108185080,주식회사잉글리시에그,0.0012,0.606,0.8729,0.8978,0,1,1,1,0.6048,0.2669,0.0249,90.24
1098164988,젬하우시스주식회사,0.0022,0.0033,0.3545,0.739,0,0,0,1,0.0011,0.3512,0.3845,90.23
1048621543,톰포드리테일코리아,0.0042,0.0047,0.7837,0.8605,0,0,1,1,0.0005,0.779,0.0768,90.1
2118738107,주식회사상원무역,0.0414,0.1002,0.4567,0.7087,0,0,1,1,0.0588,0.3565,0.252,90.08
1068108726,(주)중앙에너비스,0.0721,0.1599,0.5809,0.7382,0,0,1,1,0.0878,0.421,0.1573,89.96
2118719532,주식회사유로세라믹,0.0802,0.397,0.6608,0.7723,0,0,1,1,0.3168,0.2638,0.1115,89.93
1198666372,주식회사나비엠알오,0.0007,0.0002,0.2992,0.8897,0,0,0,1,-0.0005,0.299,0.5905,89.92
1168135991,(주)대동스틸,0.0003,0.5083,0.8367,0.8636,0,1,1,1,0.508,0.3284,0.0269,89.9
5028132934,주식회사몽돌,0.0011,0.0095,0.1874,0.6817,0,0,0,1,0.0084,0.1779,0.4943,89.87
4028157178,주식회사지오하우스,0.0264,0.4538,0.4828,0.7502,0,1,1,1,0.4274,0.029,0.2674,89.85
1218603706,(주)티피이솔루션,0.0015,0.0455,0.555,0.7149,0,0,1,1,0.044,0.5095,0.1599,89.81
1148620463,(주)한국리모텍,0.0009,0.6129,0.7566,0.8248,0,1,1,1,0.612,0.1437,0.0682,89.78
2178114644,하림스틸주식회사,0.0005,0.0104,0.4435,0.7025,0,0,1,1,0.0099,0.4331,0.259,89.72
1328630218,주식회사삼원,0.0041,0.0045,0.0146,0.7602,0,0,0,1,0.0004,0.0101,0.7456,89.68
2158159247,(주)이효바이오싸이언스,0.0003,0.0002,0.5565,0.8309,0,0,1,1,-0.0001,0.5563,0.2744,89.63
2148738348,(주)모든오피스,0.0154,0.0176,0.1589,0.6862,0,0,0,1,0.0022,0.1413,0.5273,89.62
1098195633,(주)레알아이엔티,0.0011,0.0009,0.0338,0.8645,0,0,0,1,-0.0002,0.0329,0.8307,89.61
6088135807,모터스밸리주식회사,0.0392,0.0439,0.6519,0.7678,0,0,1,1,0.0047,0.608,0.1159,89.6
1378120888,제이자원주식회사,0.0008,0.2167,0.5788,0.7142,0,0,1,1,0.2159,0.3621,0.1354,89.6
1118125367,(주)한가람약품,0.0011,0.1112,0.3232,0.6632,0,0,0,1,0.1101,0.212,0.34,89.59
1148136830,삼원아트무역주식회사,0.0195,0.0295,0.0704,0.6736,0,0,0,1,0.01,0.0409,0.6032,89.46
2028138076,(주)동신툴피아,0.0008,0.0013,0.0078,0.754,0,0,0,1,0.0005,0.0065,0.7462,89.41
2098160749,주식회사제이에프티,0.0004,0.1443,0.8762,0.8819,0,0,1,1,0.1439,0.7319,0.0057,89.36
2148658726,(주)포엠아이,0.0008,0.3888,0.5696,0.7165,0,0,1,1,0.388,0.1808,0.1469,89.34
1208776635,불스원서비스주식회사,0.0071,0.1171,0.6377,0.7271,0,0,1,1,0.11,0.5206,0.0894,89.31
2298116010,(주)농협유통,0.199,0.5713,0.8408,0.8625,0,1,1,1,0.3723,0.2695,0.0217,89.27
7168701158,주식회사위버스컴퍼니,0.0001,0.1666,0.7344,0.7762,0,0,1,1,0.1665,0.5678,0.0418,89.18
1348639646,주식회사성보유통,0.0072,0.014,0.5918,0.717,0,0,1,1,0.0068,0.5778,0.1252,89.1
1378149755,민팃(주),0.0028,0.0707,0.6006,0.7069,0,0,1,1,0.0679,0.5299,0.1063,89.07
4018127929,태영세라믹주식회사,0.2418,0.8009,0.8171,0.8751,0,1,1,1,0.5591,0.0162,0.058,89.04
1208156414,신의페트라(주),0.0016,0.278,0.5489,0.6851,0,0,1,1,0.2764,0.2709,0.1362,88.85
3838101617,적산개발,0.0084,0.0309,0.8045,0.8233,0,0,1,1,0.0225,0.7736,0.0188,88.84
1058684589,(주)나비타월드,0.0019,0.0021,0.0133,0.7178,0,0,0,1,0.0002,0.0112,0.7045,88.81
1408162394,동보자원주식회사,0.0024,0.0011,0.4117,0.9136,0,0,0,1,-0.0013,0.4106,0.5019,88.78
2158641645,(주)세파스,0.0006,0.3129,0.4003,0.665,0,0,0,1,0.3123,0.0874,0.2647,88.75
1178124352,페트로코리아주식회사,0.0002,0.0002,0.0825,0.7141,0,0,0,1,0.0,0.0823,0.6316,88.75
6068149815,한성산업(주),0.0033,0.0987,0.5483,0.6778,0,0,1,1,0.0954,0.4496,0.1295,88.74
1378113295,(주)원창,0.0013,0.0019,0.5893,0.7386,0,0,1,1,0.0006,0.5874,0.1493,88.74
3398100324,주식회사씨앤케이무역,0.0004,0.0022,0.0087,0.6899,0,0,0,1,0.0018,0.0065,0.6812,88.69
1428165155,주식회사나무유통,0.0008,0.0045,0.1637,0.6446,0,0,0,1,0.0037,0.1592,0.4809,88.67
1078191742,(주)이좋은세상,0.0004,0.0003,0.2435,0.7483,0,0,0,1,-0.0001,0.2432,0.5048,88.67
