변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,ROE,성숙기 vs 쇠퇴기,12.4531,-17.7837,30.2368,29.2214,0.0,***
기본 재무비율,ROIC,도입기 vs 성장기,-109.9978,-24.2259,-85.7719,79.9919,0.0,***
기본 재무비율,ROIC,도입기 vs 성숙기,-109.9978,-10.2682,-99.7297,155.0865,0.0,***
기본 재무비율,ROIC,도입기 vs 쇠퇴기,-109.9978,-90.3918,-19.606,4.2249,0.2385,n.s.
기본 재무비율,ROIC,성장기 vs 성숙기,-24.2259,-10.2682,-13.9577,2.6967,0.441,n.s.
기본 재무비율,ROIC,성장기 vs 쇠퇴기,-24.2259,-90.3918,66.1659,44.1789,0.0,***
기본 재무비율,ROIC,성숙기 vs 쇠퇴기,-10.2682,-90.3918,80.1237,90.0926,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 성장기,-19.8522,1.1344,-20.9867,221.2191,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 성숙기,-19.8522,5.414,-25.2663,459.8195,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 쇠퇴기,-19.8522,-16.385,-3.4673,6.1038,0.107,n.s.
기본 재무비율,총자본영업이익률,성장기 vs 성숙기,1.1344,5.414,-4.2796,11.7108,0.0086,**
기본 재무비율,총자본영업이익률,성장기 vs 쇠퇴기,1.1344,-16.385,17.5194,143.075,0.0,***
기본 재무비율,총자본영업이익률,성숙기 vs 쇠퇴기,5.414,-16.385,21.799,308.0489,0.0,***
기본 재무비율,매출총이익률,도입기 vs 성장기,47.3733,48.9048,-1.5315,0.2337,0.972,n.s.
기본 재무비율,매출총이익률,도입기 vs 성숙기,47.3733,54.4403,-7.067,7.1364,0.068,n.s.
기본 재무비율,매출총이익률,도입기 vs 쇠퇴기,47.3733,43.4099,3.9634,1.5822,0.6635,n.s.
기본 재무비율,매출총이익률,성장기 vs 성숙기,48.9048,54.4403,-5.5355,3.8868,0.2742,n.s.
기본 재무비율,매출총이익률,성장기 vs 쇠퇴기,48.9048,43.4099,5.4949,2.7923,0.425,n.s.
기본 재무비율,매출총이익률,성숙기 vs 쇠퇴기,54.4403,43.4099,11.0304,15.6472,0.0014,**
기본 재무비율,영업이익률,도입기 vs 성장기,-520.9511,-11.7396,-509.2115,54.6236,0.0,***
기본 재무비율,영업이익률,도입기 vs 성숙기,-520.9511,-4.0533,-516.8978,80.7165,0.0,***
기본 재무비율,영업이익률,도입기 vs 쇠퇴기,-520.9511,-394.1085,-126.8426,3.4261,0.3307,n.s.
기본 재무비율,영업이익률,성장기 vs 성숙기,-11.7396,-4.0533,-7.6863,0.0158,0.9995,n.s.
기본 재무비율,영업이익률,성장기 vs 쇠퇴기,-11.7396,-394.1085,382.3689,28.5851,0.0,***
기본 재무비율,영업이익률,성숙기 vs 쇠퇴기,-4.0533,-394.1085,390.0552,41.3664,0.0,***
기본 재무비율,순이익률,도입기 vs 성장기,-692.6733,-50.2974,-642.3758,45.9166,0.0,***
기본 재무비율,순이익률,도입기 vs 성숙기,-692.6733,-21.7689,-670.9043,71.826,0.0,***
기본 재무비율,순이익률,도입기 vs 쇠퇴기,-692.6733,-522.0649,-170.6084,3.274,0.3515,n.s.
기본 재무비율,순이익률,성장기 vs 성숙기,-50.2974,-21.7689,-28.5285,0.1153,0.9899,n.s.
기본 재무비율,순이익률,성장기 vs 쇠퇴기,-50.2974,-522.0649,471.7675,22.9846,0.0,***
기본 재무비율,순이익률,성숙기 vs 쇠퇴기,-21.7689,-522.0649,500.296,35.9465,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 성장기,-477.7796,-4.0866,-473.693,53.5598,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 성숙기,-477.7796,3.5192,-481.2988,79.2947,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 쇠퇴기,-477.7796,-357.6387,-120.1409,3.4826,0.3233,n.s.
기본 재무비율,EBITDA마진,성장기 vs 성숙기,-4.0866,3.5192,-7.6058,0.0176,0.9994,n.s.
기본 재무비율,EBITDA마진,성장기 vs 쇠퇴기,-4.0866,-357.6387,353.5521,27.6912,0.0,***
기본 재무비율,EBITDA마진,성숙기 vs 쇠퇴기,3.5192,-357.6387,361.1579,40.1838,0.0,***
기본 재무비율,현금ROA,도입기 vs 성장기,-15.9862,5.9746,-21.9608,291.0072,0.0,***
기본 재무비율,현금ROA,도입기 vs 성숙기,-15.9862,10.0934,-26.0796,588.5458,0.0,***
기본 재무비율,현금ROA,도입기 vs 쇠퇴기,-15.9862,-13.4345,-2.5517,3.9714,0.2649,n.s.
기본 재무비율,현금ROA,성장기 vs 성숙기,5.9746,10.0934,-4.1188,13.0317,0.0046,**
기본 재무비율,현금ROA,성장기 vs 쇠퇴기,5.9746,-13.4345,19.4091,210.9644,0.0,***
기본 재무비율,현금ROA,성숙기 vs 쇠퇴기,10.0934,-13.4345,23.5279,431.1091,0.0,***
기본 재무비율,매출원가율,도입기 vs 성장기,50.5841,50.5971,-0.0131,0.0,1.0,n.s.
기본 재무비율,매출원가율,도입기 vs 성숙기,50.5841,45.4521,5.1319,4.3407,0.2273,n.s.
기본 재무비율,매출원가율,도입기 vs 쇠퇴기,50.5841,54.4179,-3.8338,1.7076,0.6353,n.s.
기본 재무비율,매출원가율,성장기 vs 성숙기,50.5971,45.4521,5.145,3.873,0.2758,n.s.
기본 재무비율,매출원가율,성장기 vs 쇠퇴기,50.5971,54.4179,-3.8208,1.5571,0.6692,n.s.
기본 재무비율,매출원가율,성숙기 vs 쇠퇴기,45.4521,54.4179,-8.9657,11.9239,0.0078,**
기본 재무비율,판관비율,도입기 vs 성장기,292.5806,55.3697,237.2109,97.6096,0.0,***
기본 재무비율,판관비율,도입기 vs 성숙기,292.5806,57.4475,235.1331,137.5373,0.0,***
기본 재무비율,판관비율,도입기 vs 쇠퇴기,292.5806,265.0617,27.5189,1.3279,0.7225,n.s.
기본 재무비율,판관비율,성장기 vs 성숙기,55.3697,57.4475,-2.0778,0.0095,0.9998,n.s.
기본 재무비율,판관비율,성장기 vs 쇠퇴기,55.3697,265.0617,-209.6921,70.791,0.0,***
기본 재무비율,판관비율,성숙기 vs 쇠퇴기,57.4475,265.0617,-207.6142,96.5049,0.0,***
기본 재무비율,감가상각비율,도입기 vs 성장기,25.6677,7.5918,18.0759,76.5555,0.0,***
기본 재무비율,감가상각비율,도입기 vs 성숙기,25.6677,6.8631,18.8046,118.8161,0.0,***
기본 재무비율,감가상각비율,도입기 vs 쇠퇴기,25.6677,21.4406,4.2271,4.232,0.2378,n.s.
기본 재무비율,감가상각비율,성장기 vs 성숙기,7.5918,6.8631,0.7287,0.1584,0.984,n.s.
기본 재무비율,감가상각비율,성장기 vs 쇠퇴기,7.5918,21.4406,-13.8488,41.7051,0.0,***
기본 재무비율,감가상각비율,성숙기 vs 쇠퇴기,6.8631,21.4406,-14.5775,64.2619,0.0,***
기본 재무비율,총자산회전율,도입기 vs 성장기,0.7193,0.8954,-0.1762,10.8379,0.0128,*
기본 재무비율,총자산회전율,도입기 vs 성숙기,0.7193,1.021,-0.3017,45.6,0.0,***
기본 재무비율,총자산회전율,도입기 vs 쇠퇴기,0.7193,0.6976,0.0217,0.1662,0.9829,n.s.
기본 재무비율,총자산회전율,성장기 vs 성숙기,0.8954,1.021,-0.1256,7.0115,0.0718,n.s.
기본 재무비율,총자산회전율,성장기 vs 쇠퇴기,0.8954,0.6976,0.1979,12.6886,0.0054,**
기본 재무비율,총자산회전율,성숙기 vs 쇠퇴기,1.021,0.6976,0.3234,47.1536,0.0,***
기본 재무비율,유동자산회전율,도입기 vs 성장기,1.6443,2.4622,-0.8178,48.5355,0.0,***
기본 재무비율,유동자산회전율,도입기 vs 성숙기,1.6443,2.0842,-0.4399,20.1339,0.0002,***
기본 재무비율,유동자산회전율,도입기 vs 쇠퇴기,1.6443,1.5151,0.1292,1.2245,0.7472,n.s.
기본 재무비율,유동자산회전율,성장기 vs 성숙기,2.4622,2.0842,0.378,13.1976,0.0043,**
기본 재무비율,유동자산회전율,성장기 vs 쇠퇴기,2.4622,1.5151,0.947,60.4024,0.0,***
기본 재무비율,유동자산회전율,성숙기 vs 쇠퇴기,2.0842,1.5151,0.5691,30.3293,0.0,***
기본 재무비율,비유동자산회전율,도입기 vs 성장기,3.4798,2.8769,0.603,1.5091,0.6802,n.s.
기본 재무비율,비유동자산회전율,도입기 vs 성숙기,3.4798,5.4734,-1.9935,23.657,0.0,***
기본 재무비율,비유동자산회전율,도입기 vs 쇠퇴기,3.4798,3.4919,-0.012,0.0006,1.0,n.s.
기본 재무비율,비유동자산회전율,성장기 vs 성숙기,2.8769,5.4734,-2.5965,35.6254,0.0,***
기본 재무비율,비유동자산회전율,성장기 vs 쇠퇴기,2.8769,3.4919,-0.615,1.4571,0.6922,n.s.
기본 재무비율,비유동자산회전율,성숙기 vs 쇠퇴기,5.4734,3.4919,1.9815,21.0347,0.0001,***
기본 재무비율,유형자산회전율,도입기 vs 성장기,44.3682,26.6124,17.7557,4.1599,0.245,n.s.
기본 재무비율,유형자산회전율,도입기 vs 성숙기,44.3682,63.0258,-18.6576,6.587,0.0866,n.s.
기본 재무비율,유형자산회전율,도입기 vs 쇠퇴기,44.3682,52.1744,-7.8063,0.8128,0.8464,n.s.
기본 재무비율,유형자산회전율,성장기 vs 성숙기,26.6124,63.0258,-36.4134,22.2726,0.0001,***
기본 재무비율,유형자산회전율,성장기 vs 쇠퇴기,26.6124,52.1744,-25.562,8.0018,0.0462,*
기본 재무비율,유형자산회전율,성숙기 vs 쇠퇴기,63.0258,52.1744,10.8514,2.0053,0.5714,n.s.
기본 재무비율,투하자본회전율,도입기 vs 성장기,1.7616,2.163,-0.4013,1.7883,0.6176,n.s.
기본 재무비율,투하자본회전율,도입기 vs 성숙기,1.7616,2.8687,-1.1071,19.5141,0.0002,***
기본 재무비율,투하자본회전율,도입기 vs 쇠퇴기,1.7616,1.9148,-0.1532,0.2633,0.9668,n.s.
기본 재무비율,투하자본회전율,성장기 vs 성숙기,2.163,2.8687,-0.7057,7.0398,0.0709,n.s.
