column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
매출채권회수기간_diff,295,3618,0.402235,0.349127,0.261509,0.269522,0.1703,0.4821,ambiguous,514569.5,0.30629709648966585,0.3353867648713659,0.0,0,FDR 비유의
매출채권회수기간_ratio,295,3618,0.375398,0.288141,0.125434,0.139601,0.1517,0.4823,ambiguous,514716.5,0.31003765674865225,0.33759655957075463,0.0,0,FDR 비유의
재고자산회전율_diff,295,3618,0.756198,1.290525,0.761663,1.744067,-0.6686,0.3303,normal_high,352582.0,1.5195316494725322e-22,3.008365689864811e-22,1.0,1,
재고자산회전율_ratio,295,3618,0.125168,1.160956,0.140139,1.514282,-0.6681,0.3223,normal_high,343952.0,1.3461666640411506e-24,2.7773543805480583e-24,1.0,1,
재고자산보유기간_diff,295,3618,1.274405,0.729504,1.691432,0.890219,0.8618,0.741,distress_high,790928.0,4.54157836461561e-44,2.405809079634215e-43,1.0,1,
재고자산보유기간_ratio,295,3618,1.045936,0.397895,1.541593,0.588984,0.862,0.7411,distress_high,790979.0,4.369474199064604e-44,2.3789359528240626e-43,1.0,1,
매입채무회전율_diff,295,3618,0.464152,0.438779,0.115295,0.114797,0.0445,0.5649,distress_high,602971.0,0.0001965290336373656,0.00026383349721180585,1.0,1,
매입채무회전율_ratio,295,3618,0.174307,0.106878,0.004825,0.00323,0.1888,0.5283,ambiguous,563807.0,0.10480296126856078,0.12227012147998757,0.0,0,FDR 비유의
매입채무지급기간_diff,295,3618,1.947643,0.65285,2.304811,0.575532,0.6031,0.7123,distress_high,760256.0,2.694179732743521e-34,8.123988117195849e-34,1.0,1,
매입채무지급기간_ratio,295,3618,2.387328,0.476075,2.811542,0.365037,0.5986,0.7156,distress_high,763740.0,2.633191214024569e-35,8.747550473708738e-35,1.0,1,
현금전환주기_CCC_diff,295,3618,0.931615,0.639944,1.914913,0.903296,0.0981,0.7698,distress_high,821616.0,5.528168678524167e-55,4.167388696118218e-54,1.0,1,
현금전환주기_CCC_ratio,295,3618,0.708715,0.495408,1.356405,0.673717,0.1053,0.7689,distress_high,820683.0,1.2207672629062831e-54,8.861866056653019e-54,1.0,1,
영업CF_유동부채_diff,295,3618,0.849231,0.86326,0.810251,0.852464,-0.0091,0.2291,normal_high,244475.0,3.466036048014774e-54,2.4262252336103416e-53,1.0,1,
영업CF_유동부채_ratio,295,3618,0.785578,0.862209,0.739887,0.82618,-0.0208,0.2249,normal_high,240001.5,8.0655503570000005e-56,6.3233914798880006e-55,1.0,1,
영업CF_총부채_diff,295,3618,0.66225,0.886516,0.739897,0.81145,-0.4963,0.2222,normal_high,237125.0,6.971644875710763e-57,6.211101798360499e-56,1.0,1,
영업CF_총부채_ratio,295,3618,0.390043,1.069196,0.615413,0.785611,-0.4434,0.2184,normal_high,233062.5,2.1091743096641318e-58,1.9685626890198566e-57,1.0,1,
